name,category,price,historical_sold,shop_location,cmt_count,one_star_rating,two_star_rating,three_star_rating,four_star_rating,five_star_rating
Chè Dưỡng Nhan 14 Vị 500gr ( Có Hoa Mộc ),bach_hoa,102000.0,77697,Đồng Tháp,20626,29,18,91,310,20181
Mì Ý Spaghetti Số 3 Fiamma 500g,bach_hoa,30000.0,9952,TP. Hồ Chí Minh,882,0,0,3,7,872
[Mã FMCGMALL -8% đơn 250K] Gia Vị Barona 80g ướp ngon chuẩn vị không cần nêm nếm,bach_hoa,12500.0,16690,TP. Hồ Chí Minh,833,0,0,2,3,828
long nhãn cơm nhãn lồng Hưng Yên sấy khô 100g loại ngon (giá sale 19k),bach_hoa,15450.0,11069,TP. Hồ Chí Minh,2824,3,5,11,30,2775
[Date,bach_hoa,275000.0,9743,TP. Hồ Chí Minh,3179,7,3,13,39,3117
100g Phô Mai Bào Sợi Mozzarella của Pháp,bach_hoa,22000.0,7161,TP. Hồ Chí Minh,1201,0,2,3,10,1186
(Quà tặng) Nho khô Mỹ bổ sung nhiều Vitamin Đẹp da,bach_hoa,50000.0,51289,Hà Nội,20551,44,27,108,303,20069
Nước thạch trái cây Jele Beautie Thái Lan gói 125/150g,bach_hoa,8250.0,47857,TP. Hồ Chí Minh,1554,3,1,1,18,1531
[TÚI 12 BÁNH] Bánh pía kim sa 10 vị mới Tân Huê Viên,bach_hoa,92500.0,15048,TP. Hồ Chí Minh,2465,2,2,7,28,2426
100g mỳ váng đậu chuẩn keto ăn kiêng,bach_hoa,15900.0,9364,Hà Nội,1631,2,1,5,20,1603
Viên chiên xiên que,bach_hoa,38000.0,5570,Hà Nội,1077,0,2,2,11,1062
Rong biển Hàn Quốc cuộn cơm (gimbab) gói 10 lá,bach_hoa,25400.0,12362,Hà Nội,1946,3,3,10,12,1918
[Sỉ] Cơm Bún Mì Miến Phở Nưa�FREESHIP�Cho Keto Das Cam Kết Mới,bach_hoa,20500.0,32848,Hà Nội,2063,2,3,8,29,2021
[Mã FMCGMALL -8% đơn 250K] Set Tàu Hủ Trân Châu Đường Đen (SET 10 CHÉN),bach_hoa,125000.0,34887,TP. Hồ Chí Minh,14778,33,19,80,285,14361
Gelatin lá của ĐỨC (1 lá),bach_hoa,3840.0,22683,Hà Nội,1803,2,1,7,23,1770
Trà Dưỡng Nhan 7 Vị (Gồm,bach_hoa,4700.0,112788,Hà Nội,3087,4,5,26,68,2984
Bột Kem Béo Nguyên Liệu Làm Trà Sữa Trân Châu Tự Pha TUYỆT PHẨM 500g,bach_hoa,69000.0,11591,TP. Hồ Chí Minh,4671,6,4,21,70,4570
[Date,bach_hoa,271500.0,7030,TP. Hồ Chí Minh,2361,4,4,7,26,2320
Kem Béo Thực Vật Rich Base On Top Icehot,bach_hoa,32000.0,6946,TP. Hồ Chí Minh,904,1,1,1,8,893
[Mã FMCGMALL -8% đơn 250K] SET LÀM PUDDING TRỨNG,bach_hoa,85000.0,22717,TP. Hồ Chí Minh,6873,7,14,19,121,6713
Trái Đào Ngâm Nước Đường Thái Lan Lon 425gr \u0026 Lon 820gr,bach_hoa,31000.0,13186,TP. Hồ Chí Minh,1819,8,3,5,9,1794
GIÁ GỐC-BÁNH TRÁNG BƠ ABI 150Gr MUA 2 TẶNG 1 KHẨU TRANG,bach_hoa,16800.0,73218,TP. Hồ Chí Minh,15829,46,36,109,271,15367
Túi Đựng Laptop Chống Sốc Macbook Ultrabook 1/2 Ngăn 13.3 Inch,balo_tui_vi_nam,102000.0,37044,Hà Nội,12818,17,9,71,388,12333
Túi Chống Sốc Laptop Macbook (2 Ngăn - Full Size 13,balo_tui_vi_nam,99000.0,17405,Hà Nội,6561,16,6,45,194,6300
Túi đựng laptop ,balo_tui_vi_nam,94000.0,9283,TP. Hồ Chí Minh,3486,6,2,8,93,3377
BOSTANTEN Ba Lô Đi Học Bằng Da PU Thời Trang Cho Nam,balo_tui_vi_nam,269000.0,12824,Nước ngoài,5940,21,15,66,201,5637
Túi chống sốc,balo_tui_vi_nam,90000.0,7987,Hà Nội,2897,13,7,31,130,2716
Balo Ulzzang Thời Trang Hàn Quốc PRAZA BLS0185,balo_tui_vi_nam,149000.0,10493,TP. Hồ Chí Minh,4613,22,14,42,198,4337
Túi Đeo Hông Đeo Bụng Đeo Chéo Cao Cấp Nhiều Ngăn ( V-star),balo_tui_vi_nam,70500.0,10882,Hà Nội,3391,23,11,47,141,3169
Túi Tote Canvas Nhiều Màu Lựa Chọn Size 33x38,balo_tui_vi_nam,25000.0,7436,TP. Hồ Chí Minh,878,6,2,8,27,835
Ví Sen Mini Ariza Nam Nữ Da Pu SA02,balo_tui_vi_nam,32000.0,10779,Hà Nội,4331,15,21,64,179,4052
Ví tiện lợi đựng điện thoại ,balo_tui_vi_nam,40000.0,4461,TP. Hồ Chí Minh,2073,16,4,19,71,1963
Túi đeo hông,balo_tui_vi_nam,68500.0,6888,Hà Nội,1992,9,4,29,82,1868
Túi vải tote,balo_tui_vi_nam,27500.0,12578,Hà Nội,2534,10,10,38,106,2370
Túi Chống Sốc Laptop Anki (Full Size) T004,balo_tui_vi_nam,175000.0,4472,Hà Nội,1492,7,5,12,72,1396
[Trending] Túi đeo chéo nam nữ Unisex thời trang siêu nhẹ chống nước TC006,balo_tui_vi_nam,89000.0,18794,Hà Nội,7085,27,18,90,296,6654
Túi Chống Sốc Macbook Laptop Cao Cấp 13.3 Inch,balo_tui_vi_nam,125500.0,7388,TP. Hồ Chí Minh,2381,25,10,31,98,2217
Túi đựng laptop Macbook chuyên dụng nhiều màu và cỡ 11 12 13 14 15 15.6 inch dạng khóa kéo,balo_tui_vi_nam,54000.0,6913,Nước ngoài,2761,22,12,63,144,2520
Túi đeo chéo nam vải canvas chống nước 3 ngăn phong cách Hàn Quốc,balo_tui_vi_nam,69654.0,33954,Hà Nội,12494,150,78,270,752,11245
Balo nam nữ thời trang LAZA BL432 đựng vừa laptop 15.6in Chính hãng phân phối,balo_tui_vi_nam,135000.0,10590,TP. Hồ Chí Minh,4541,45,21,76,263,4136
Ví Da Nam Đựng Thẻ Dáng Đứng Leonardo - Feasty Wallet - Da Bò Cao Cấp Bền Bỉ,balo_tui_vi_nam,149000.0,22611,TP. Hồ Chí Minh,8362,74,46,151,413,7678
Khoá cài,balo_tui_vi_nam,11000.0,6041,TP. Hồ Chí Minh,472,3,0,7,13,449
Túi Đựng Card Visit,balo_tui_vi_nam,2000.0,10514,TP. Hồ Chí Minh,2893,80,19,56,45,2693
Balo Laptop,balo_tui_vi_nam,113000.0,13438,Hà Nội,2867,38,21,113,204,2491
Túi Bao Tử Đeo Chéo,balo_tui_vi_nam,59000.0,5868,TP. Hồ Chí Minh,1751,8,3,22,73,1645
Túi đeo chéo nam Adidas Mini cao cấp unisex hàn quốc đi chơi học chất da màu đen giá rẻ đeo hông thời trang chống nước,balo_tui_vi_nam,169000.0,9463,Hà Nội,4113,6,1,21,110,3976
[tặng hộp \u0026 Freeship] Ví nam nữ unisex bóp da lộn siêu bền cao cấp mini nhỏ gọn thời trang giá rẻ - vn080,balo_tui_vi_nam,78000.0,1010,Đà Nẵng,512,7,2,8,14,481
Túi Đeo Chéo Nam Cao Cấp LAZA TX349,balo_tui_vi_nam,59000.0,26863,TP. Hồ Chí Minh,6895,175,89,249,414,4751
Túi đeo chéo nam mini vải canvas bền bỉ phong cách unisex Hàn Quốc TC87,balo_tui_vi_nam,89000.0,11167,Hà Nội,4161,31,19,64,228,3819
